"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count"
"PBANKA_1132100","PBANKA_1132100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,206,848..1,207,526(+)","splicing factor 3B subunit 5, putative","no","SF3B5","PBANKA_1132100","Previous IDs: PB001214.02.0;PBANKA_113210","splicing factor 3B subunit 5, putative","4","4","1","null","null","forward","protein coding","No","258","11","PbANKA_11_v3:1206848..1207526(+)","PbANKA_11_v3","44","OG6_103168","0"
"PBANKA_1132200","PBANKA_1132200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,208,331..1,209,518(+)","RWD domain-containing protein, putative","no","null","PBANKA_1132200","Previous IDs: PBANKA_113220","RWD domain-containing protein, putative","1","1","1","null","null","forward","protein coding","No","1188","11","PbANKA_11_v3:1208331..1209518(+)","PbANKA_11_v3","44","OG6_103700","0"
"PBANKA_1132300","PBANKA_1132300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,210,642..1,214,559(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1132300","Previous IDs: PBANKA_113230","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","3918","11","PbANKA_11_v3:1210642..1214559(+)","PbANKA_11_v3","3","OG6r1_118697","0"
"PBANKA_1132400","PBANKA_1132400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,215,365..1,218,181(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1132400","Previous IDs: PB000386.02.0;PB000486.01.0;PB100930.00.0;PBANKA_113240","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","2817","11","PbANKA_11_v3:1215365..1218181(-)","PbANKA_11_v3","40","OG6_533273","0"
"PBANKA_1132500","PBANKA_1132500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,219,582..1,220,305(-)","mitochondrial import inner membrane translocase subunit TIM23, putative","no","TIM23","PBANKA_1132500","Previous IDs: PB000485.01.0;PBANKA_113250","mitochondrial import inner membrane translocase subunit TIM23, putative","2","2","1","null","null","reverse","protein coding","No","504","11","PbANKA_11_v3:1219582..1220305(-)","PbANKA_11_v3","45","OG6_102649","0"
"PBANKA_1132600","PBANKA_1132600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,222,934..1,224,409(+)","ubiquitin-conjugating enzyme E2, putative","no","null","PBANKA_1132600","Previous IDs: PB000306.03.0;PBANKA_113260","ubiquitin-conjugating enzyme E2, putative","7","7","1","null","null","forward","protein coding","No","609","11","PbANKA_11_v3:1222934..1224409(+)","PbANKA_11_v3","44","OG6_103192","0"
"PBANKA_1132700","PBANKA_1132700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,225,977..1,228,931(+)","phosphatase 2A regulatory subunit-related protein, putative","no","null","PBANKA_1132700","Previous IDs: PB000452.01.0;PB000474.02.0;PBANKA_113270","phosphatase 2A regulatory subunit-related protein, putative","1","1","1","null","null","forward","protein coding","No","2955","11","PbANKA_11_v3:1225977..1228931(+)","PbANKA_11_v3","43","OG6_101579","0"
"PBANKA_1132800","PBANKA_1132800.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,230,128..1,230,845(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1132800","Previous IDs: PB000453.01.0;PBANKA_113280","conserved Plasmodium protein, unknown function","2","2","1","null","null","forward","protein coding","No","585","11","PbANKA_11_v3:1230128..1230845(+)","PbANKA_11_v3","43","OG6_122568","0"
"PBANKA_1132900","PBANKA_1132900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,231,635..1,233,074(-)","regulator of chromosome condensation, putative","no","null","PBANKA_1132900","Previous IDs: PB000451.01.0;PBANKA_113290","regulator of chromosome condensation, putative","1","1","1","null","null","reverse","protein coding","No","1440","11","PbANKA_11_v3:1231635..1233074(-)","PbANKA_11_v3","44","OG6_124292","0"
"PBANKA_1133000","PBANKA_1133000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,235,298..1,236,625(+)","DnaJ protein, putative","no","null","PBANKA_1133000","Previous IDs: PB000049.02.0;PB000483.03.0;PBANKA_113300","DnaJ protein, putative","7","7","1","null","null","forward","protein coding","No","597","11","PbANKA_11_v3:1235298..1236625(+)","PbANKA_11_v3","43","OG6_130402","0"
"PBANKA_1133100","PBANKA_1133100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,238,937..1,249,964(+)","serine/threonine protein kinase, putative","no","ARK3","PBANKA_1133100","Previous IDs: PB000513.02.0;PB001095.01.0;PB100520.00.0;PB100542.00.0;PBANKA_113310","serine/threonine protein kinase, putative","1","1","1","null","null","forward","protein coding","No","11028","11","PbANKA_11_v3:1238937..1249964(+)","PbANKA_11_v3","120","OG6_100573","3"
"PBANKA_1133200","PBANKA_1133200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,251,337..1,252,887(-)","cdc2-related kinase 2","no","CRK2","PBANKA_1133200","Previous IDs: PB000293.00.0;PBANKA_113320;PbCRK2","cdc2-related kinase 2","5","5","1","null","null","reverse","protein coding","No","867","11","PbANKA_11_v3:1251337..1252887(-)","PbANKA_11_v3","46","OG6_100334","0"
"PBANKA_1133300","PBANKA_1133300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,253,535..1,254,866(-)","elongation factor 1-alpha","no","EF-1alpha","PBANKA_1133300","Previous IDs: PB000423.03.0;PB000424.03.0;PB300751.00.0;PBANKA_113330","elongation factor 1-alpha","1","1","1","null","null","reverse","protein coding","No","1332","11","PbANKA_11_v3:1253535..1254866(-)","PbANKA_11_v3","85","OG6_100227","1"
"PBANKA_1133400","PBANKA_1133400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,255,919..1,257,250(+)","elongation factor 1-alpha","no","EF-1alpha","PBANKA_1133400","Previous IDs: EF-1alpha;PBANKA_113340","elongation factor 1-alpha","1","1","1","null","null","forward","protein coding","No","1332","11","PbANKA_11_v3:1255919..1257250(+)","PbANKA_11_v3","85","OG6_100227","1"
"PBANKA_1133500","PBANKA_1133500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,258,407..1,260,964(+)","glutamate--tRNA ligase","no","GluRS","PBANKA_1133500","Previous IDs: PB000425.03.0;PB300333.00.0;PBANKA_113350","glutamate--tRNA ligase","7","7","1","null","null","forward","protein coding","No","1683","11","PbANKA_11_v3:1258407..1260964(+)","PbANKA_11_v3","44","OG6_101161","0"
"PBANKA_1133600","PBANKA_1133600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,261,883..1,262,248(+)","dynein light chain, putative","no","null","PBANKA_1133600","Previous IDs: PB001081.00.0;PBANKA_113360","dynein light chain, putative","1","1","1","null","null","forward","protein coding","No","366","11","PbANKA_11_v3:1261883..1262248(+)","PbANKA_11_v3","44","OG6_149564","0"
"PBANKA_1133700","PBANKA_1133700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,263,353..1,266,457(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1133700","Previous IDs: PB001078.00.0;PBANKA_113370","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","3105","11","PbANKA_11_v3:1263353..1266457(+)","PbANKA_11_v3","14","OG6r1_101558","0"
"PBANKA_1133800","PBANKA_1133800.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,267,773..1,270,376(+)","DNA helicase, putative","no","null","PBANKA_1133800","Previous IDs: PB001076.00.0;PB300505.00.0;PBANKA_113380","DNA helicase, putative","1","1","1","null","null","forward","protein coding","No","2604","11","PbANKA_11_v3:1267773..1270376(+)","PbANKA_11_v3","45","OG6_101361","0"
"PBANKA_1133900","PBANKA_1133900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,271,110..1,271,857(+)","conserved protein, unknown function","no","null","PBANKA_1133900","Previous IDs: PB001082.00.0;PBANKA_113390","conserved protein, unknown function","4","4","1","null","null","forward","protein coding","No","354","11","PbANKA_11_v3:1271110..1271857(+)","PbANKA_11_v3","47","OG6_146114","0"
"PBANKA_1134000","PBANKA_1134000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,272,619..1,276,808(-)","U3 small nucleolar RNA-associated protein 21, putative","no","UTP21","PBANKA_1134000","Previous IDs: PB001075.00.0;PB300083.00.0;PBANKA_113400","U3 small nucleolar RNA-associated protein 21, putative","4","4","1","null","null","reverse","protein coding","No","3750","11","PbANKA_11_v3:1272619..1276808(-)","PbANKA_11_v3","44","OG6_102184","0"
"PBANKA_1134100","PBANKA_1134100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,277,972..1,280,363(+)","T-complex protein 1 subunit delta, putative","no","CCT4","PBANKA_1134100","Previous IDs: PB001077.00.0;PBANKA_113410","T-complex protein 1 subunit delta, putative","3","3","1","null","null","forward","protein coding","No","1590","11","PbANKA_11_v3:1277972..1280363(+)","PbANKA_11_v3","44","OG6_101757","0"
"PBANKA_1134200","PBANKA_1134200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,281,534..1,283,041(+)","pyrroline-5-carboxylate reductase, putative","no","null","PBANKA_1134200","Previous IDs: PB001079.00.0;PB300754.00.0;PBANKA_113420","pyrroline-5-carboxylate reductase, putative","6","6","1","null","null","forward","protein coding","No","783","11","PbANKA_11_v3:1281534..1283041(+)","PbANKA_11_v3","47","OG6_100382","0"
"PBANKA_1134300","PBANKA_1134300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,283,554..1,290,029(-)","patatin-like phospholipase, putative","no","null","PBANKA_1134300","Previous IDs: PB000255.00.0;PB000737.03.0;PB000808.03.0;PB001080.00.0;PB100827.00.0;PB300124.00.0;PBANKA_113430","patatin-like phospholipase, putative","2","2","1","null","null","reverse","protein coding","No","6291","11","PbANKA_11_v3:1283554..1290029(-)","PbANKA_11_v3","44","OG6_103723","0"
"PBANKA_1134400","PBANKA_1134400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,290,974..1,293,205(-)","Sas10 domain-containing protein, putative","no","null","PBANKA_1134400","Previous IDs: PB000807.03.0;PBANKA_113440","Sas10 domain-containing protein, putative","1","1","1","null","null","reverse","protein coding","No","2232","11","PbANKA_11_v3:1290974..1293205(-)","PbANKA_11_v3","41","OG6_102932","0"
"PBANKA_1134500","PBANKA_1134500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,294,277..1,298,850(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1134500","Previous IDs: PB300018.00.0;PB300048.00.0;PB301022.00.0;PB403939.00.0;PBANKA_113450","conserved Plasmodium protein, unknown function","2","2","1","null","null","forward","protein coding","No","4458","11","PbANKA_11_v3:1294277..1298850(+)","PbANKA_11_v3","5","OG6r1_109859","0"
"PBANKA_1134600","PBANKA_1134600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,299,621..1,300,622(-)","rhomboid protease ROM7","no","ROM7","PBANKA_1134600","Previous IDs: PBANKA_113460","rhomboid protease ROM7","1","1","1","null","null","reverse","protein coding","No","1002","11","PbANKA_11_v3:1299621..1300622(-)","PbANKA_11_v3","44","OG6_533468","0"
"PBANKA_1134700","PBANKA_1134700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,301,908..1,302,820(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1134700","Previous IDs: PBANKA_113470","conserved Plasmodium protein, unknown function","3","3","1","null","null","forward","protein coding","No","411","11","PbANKA_11_v3:1301908..1302820(+)","PbANKA_11_v3","44","OG6_533340","0"
"PBANKA_1134800","PBANKA_1134800.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,303,460..1,305,175(+)","zinc finger protein, putative","no","null","PBANKA_1134800","Previous IDs: PB001256.02.0;PBANKA_113480","zinc finger protein, putative","1","1","1","null","null","forward","protein coding","No","1716","11","PbANKA_11_v3:1303460..1305175(+)","PbANKA_11_v3","44","OG6_101443","0"
"PBANKA_1134900","PBANKA_1134900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,306,967..1,309,579(+)","zinc finger protein, putative","no","null","PBANKA_1134900","Previous IDs: PB001257.02.0;PBANKA_113490","zinc finger protein, putative","1","1","1","null","null","forward","protein coding","No","2613","11","PbANKA_11_v3:1306967..1309579(+)","PbANKA_11_v3","37","OG6_101179","0"
"PBANKA_1135000","PBANKA_1135000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,310,796..1,311,257(-)","YOP1-like protein, putative","no","YOP1L","PBANKA_1135000","Previous IDs: PB001258.02.0;PBANKA_113500","YOP1-like protein, putative","1","1","1","null","null","reverse","protein coding","No","462","11","PbANKA_11_v3:1310796..1311257(-)","PbANKA_11_v3","43","OG6_136847","0"
"PBANKA_1135100","PBANKA_1135100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,315,094..1,315,549(+)","40S ribosomal protein S15, putative","no","RPS15","PBANKA_1135100","Previous IDs: PB000676.03.0;PBANKA_113510","40S ribosomal protein S15, putative","1","1","1","null","null","forward","protein coding","No","456","11","PbANKA_11_v3:1315094..1315549(+)","PbANKA_11_v3","44","OG6_100971","0"
"PBANKA_1135200","PBANKA_1135200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,316,029..1,318,842(-)","GTP-binding protein, putative","no","null","PBANKA_1135200","Previous IDs: PB000677.03.0;PB300153.00.0;PBANKA_113520","GTP-binding protein, putative","15","15","1","null","null","reverse","protein coding","No","1104","11","PbANKA_11_v3:1316029..1318842(-)","PbANKA_11_v3","44","OG6_101808","0"
"PBANKA_1135300","PBANKA_1135300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,319,663..1,328,824(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1135300","Previous IDs: PB000255.01.0;PB000675.03.0;PB000689.03.0;PBANKA_113530","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","9162","11","PbANKA_11_v3:1319663..1328824(-)","PbANKA_11_v3","41","OG6_102005","0"
"PBANKA_1135400","PBANKA_1135400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,330,430..1,332,550(-)","riboflavin kinase, putative","no","null","PBANKA_1135400","Previous IDs: PB000688.03.0;PBANKA_113540","riboflavin kinase, putative","1","1","1","null","null","reverse","protein coding","No","2121","11","PbANKA_11_v3:1330430..1332550(-)","PbANKA_11_v3","44","OG6_101300","0"
"PBANKA_1135500","PBANKA_1135500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,333,297..1,335,589(-)","high mobility group protein B4, putative","no","HMGB4","PBANKA_1135500","Previous IDs: PB000690.03.0;PB000691.03.0;PBANKA_113550","high mobility group protein B4, putative","11","11","1","null","null","reverse","protein coding","No","759","11","PbANKA_11_v3:1333297..1335589(-)","PbANKA_11_v3","43","OG6_165731","0"
"PBANKA_1135600","PBANKA_1135600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,336,373..1,339,426(+)","exosome complex exonuclease RRP44, putative","no","DIS3","PBANKA_1135600","Previous IDs: PB000861.03.0;PB300217.00.0;PBANKA_113560","exosome complex exonuclease RRP44, putative","1","1","1","null","null","forward","protein coding","No","3054","11","PbANKA_11_v3:1336373..1339426(+)","PbANKA_11_v3","45","OG6_101226","0"
"PBANKA_1135700","PBANKA_1135700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,341,209..1,342,895(-)","CUGBP Elav-like family member 1, putative","no","CELF1","PBANKA_1135700","Previous IDs: PB000581.03.0;PB000862.03.0;PBANKA_113570","CUGBP Elav-like family member 1, putative","2","2","1","null","null","reverse","protein coding","No","1536","11","PbANKA_11_v3:1341209..1342895(-)","PbANKA_11_v3","64","OG6_100683","1"
"PBANKA_1135800","PBANKA_1135800.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,345,777..1,346,268(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1135800","Previous IDs: PB102554.00.0;PBANKA_113580","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","492","11","PbANKA_11_v3:1345777..1346268(+)","PbANKA_11_v3","0","OG6_109456","0"
"PBANKA_1135900","PBANKA_1135900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,347,948..1,357,499(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1135900","Previous IDs: PB000203.03.0;PB000285.03.0;PB300312.00.0;PB300432.00.0;PBANKA_113590","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","9552","11","PbANKA_11_v3:1347948..1357499(+)","PbANKA_11_v3","66","OG6_112372","1"
"PBANKA_1136000","PBANKA_1136000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,358,282..1,359,117(+)","ADP-ribosylation factor, putative","no","null","PBANKA_1136000","Previous IDs: PB000284.03.0;PBANKA_113600","ADP-ribosylation factor, putative","3","3","1","null","null","forward","protein coding","No","591","11","PbANKA_11_v3:1358282..1359117(+)","PbANKA_11_v3","42","OG6_134724","0"
"PBANKA_1136100","PBANKA_1136100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,360,268..1,365,577(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1136100","Previous IDs: PB000055.02.0;PB101200.00.0;PBANKA_113610","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","5310","11","PbANKA_11_v3:1360268..1365577(+)","PbANKA_11_v3","46","OG6_156430","0"
"PBANKA_1136200","PBANKA_1136200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,366,625..1,367,158(-)","ATP synthase-associated protein, putative","no","null","PBANKA_1136200","Previous IDs: PB000056.02.0;PBANKA_113620","ATP synthase-associated protein, putative","1","1","1","null","null","reverse","protein coding","No","534","11","PbANKA_11_v3:1366625..1367158(-)","PbANKA_11_v3","46","OG6_149565","0"
"PBANKA_1136300","PBANKA_1136300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,368,206..1,369,429(-)","RNA-binding protein, putative","no","RRM1","PBANKA_1136300","Previous IDs: PB000057.02.0;PB300435.00.0;PBANKA_113630","RNA-binding protein, putative","4","4","1","null","null","reverse","protein coding","No","543","11","PbANKA_11_v3:1368206..1369429(-)","PbANKA_11_v3","45","OG6_103065","0"
"PBANKA_1136400","PBANKA_1136400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,370,190..1,371,609(-)","ER membrane protein complex subunit 3, putative","no","EMC3","PBANKA_1136400","Previous IDs: PB000402.03.0;PBANKA_113640","ER membrane protein complex subunit 3, putative","7","7","1","null","null","reverse","protein coding","No","771","11","PbANKA_11_v3:1370190..1371609(-)","PbANKA_11_v3","44","OG6_102473","0"
"PBANKA_1136500","PBANKA_1136500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,372,493..1,373,620(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1136500","Previous IDs: PB000403.03.0;PBANKA_113650","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","1128","11","PbANKA_11_v3:1372493..1373620(-)","PbANKA_11_v3","44","OG6_532942","0"
"PBANKA_1136600","PBANKA_1136600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,374,320..1,375,279(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1136600","Previous IDs: PBANKA_113660","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","960","11","PbANKA_11_v3:1374320..1375279(+)","PbANKA_11_v3","43","OG6_533471","0"
"PBANKA_1136700","PBANKA_1136700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,376,352..1,387,510(+)","guanylyl cyclase beta","no","GCbeta","PBANKA_1136700","Previous IDs: PB000752.03.0;PB001059.02.0;PB300849.00.0;PBANKA_113670;PbGCbeta","guanylyl cyclase beta","14","14","1","null","null","forward","protein coding","No","9015","11","PbANKA_11_v3:1376352..1387510(+)","PbANKA_11_v3","42","OG6_139203","0"
"PBANKA_1136900","PBANKA_1136900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,388,670..1,392,772(-)","E3 SUMO-protein ligase PIAS, putative","no","PIAS","PBANKA_1136900","Previous IDs: PB001060.02.0;PB300428.00.0;PBANKA_113680;PBANKA_113690","E3 SUMO-protein ligase PIAS, putative","5","5","1","null","null","reverse","protein coding","No","2739","11","PbANKA_11_v3:1388670..1392772(-)","PbANKA_11_v3","45","OG6_147740","0"
"PBANKA_1137000","PBANKA_1137000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,396,544..1,399,993(+)","bergheilysin","no","BLN","PBANKA_1137000","Previous IDs: PB000738.02.0;PB300569.00.0;PBANKA_113700","bergheilysin","1","1","1","null","null","forward","protein coding","No","3450","11","PbANKA_11_v3:1396544..1399993(+)","PbANKA_11_v3","44","OG6_101809","0"
"PBANKA_1137100","PBANKA_1137100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,400,640..1,402,841(-)","protein arginine N-methyltransferase 5, putative","no","PRMT5","PBANKA_1137100","Previous IDs: PB000739.02.0;PB300571.00.0;PBANKA_113710","protein arginine N-methyltransferase 5, putative","1","1","1","null","null","reverse","protein coding","No","2202","11","PbANKA_11_v3:1400640..1402841(-)","PbANKA_11_v3","44","OG6_101720","0"
"PBANKA_1137200","PBANKA_1137200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,405,856..1,409,543(+)","protein transport protein Sec24A, putative","no","SEC24A","PBANKA_1137200","Previous IDs: PB001372.02.0;PBANKA_113720","protein transport protein Sec24A, putative","5","5","1","null","null","forward","protein coding","No","2829","11","PbANKA_11_v3:1405856..1409543(+)","PbANKA_11_v3","44","OG6_101023","0"
"PBANKA_1137300","PBANKA_1137300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,411,084..1,417,007(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1137300","Previous IDs: PB001374.02.0;PB300594.00.0;PB301204.00.0;PB301394.00.0;PB401451.00.0;PBANKA_113730","conserved Plasmodium protein, unknown function","6","6","1","null","null","forward","protein coding","No","5172","11","PbANKA_11_v3:1411084..1417007(+)","PbANKA_11_v3","187","OG6_109925","10"
"PBANKA_1137400","PBANKA_1137400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,417,838..1,419,619(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_1137400","Previous IDs: PBANKA_113740","conserved Plasmodium protein, unknown function","10","10","1","null","null","forward","protein coding","No","750","11","PbANKA_11_v3:1417838..1419619(+)","PbANKA_11_v3","41","OG6_532331","0"
"PBANKA_1137500","PBANKA_1137500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,419,861..1,420,399(-)","actin-depolymerizing factor 2","no","ADF2","PBANKA_1137500","Previous IDs: PB001373.02.0;PB301464.00.0;PBANKA_113750","actin-depolymerizing factor 2","2","2","1","null","null","reverse","protein coding","No","432","11","PbANKA_11_v3:1419861..1420399(-)","PbANKA_11_v3","88","OG6_100500","1"
"PBANKA_1137600","PBANKA_1137600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,422,207..1,422,611(-)","Fe-S assembly protein IscX, putative","no","YfhJ","PBANKA_1137600","Previous IDs: PBANKA_113760","Fe-S assembly protein IscX, putative","1","1","1","null","null","reverse","protein coding","No","405","11","PbANKA_11_v3:1422207..1422611(-)","PbANKA_11_v3","44","OG6_129812","0"
"PBANKA_1137700","PBANKA_1137700.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,424,152..1,425,200(+)","cytochrome c oxidase subunit 2, putative","no","null","PBANKA_1137700","Previous IDs: PB000883.03.0;PBANKA_113770","cytochrome c oxidase subunit 2, putative","2","2","1","null","null","forward","protein coding","No","678","11","PbANKA_11_v3:1424152..1425200(+)","PbANKA_11_v3","44","OG6_139498","0"
"PBANKA_1137800","PBANKA_1137800.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,426,696..1,434,816(+)","glideosome-associated connector","no","GAC","PBANKA_1137800","Previous IDs: PB108442.00.0;PB405325.00.0;PBANKA_113780","glideosome-associated connector","2","2","1","null","null","forward","protein coding","No","7818","11","PbANKA_11_v3:1426696..1434816(+)","PbANKA_11_v3","45","OG6_125523","0"
"PBANKA_1137900","PBANKA_1137900.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,435,506..1,436,330(-)","proliferating cell nuclear antigen 1, putative","no","PCNA1","PBANKA_1137900","Previous IDs: PB000885.03.0;PBANKA_113790","proliferating cell nuclear antigen 1, putative","1","1","1","null","null","reverse","protein coding","No","825","11","PbANKA_11_v3:1435506..1436330(-)","PbANKA_11_v3","44","OG6_100882","0"
"PBANKA_1138000","PBANKA_1138000.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,439,323..1,439,919(+)","cytochrome c oxidase subunit ApiCOX24, putative","no","null","PBANKA_1138000","Previous IDs: PB108445.00.1;PBANKA_113800","cytochrome c oxidase subunit ApiCOX24, putative","1","1","1","null","null","forward","protein coding","No","597","11","PbANKA_11_v3:1439323..1439919(+)","PbANKA_11_v3","44","OG6_139509","0"
"PBANKA_1138100","PBANKA_1138100.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,440,742..1,442,358(-)","14-3-3 protein, putative","no","14-3-3II","PBANKA_1138100","Previous IDs: PB000884.03.0;PBANKA_113810","14-3-3 protein, putative","7","7","1","null","null","reverse","protein coding","No","822","11","PbANKA_11_v3:1440742..1442358(-)","PbANKA_11_v3","44","OG6_179356","0"
"PBANKA_1138200","PBANKA_1138200.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,444,288..1,445,715(-)","RuvB-like helicase 3, putative","no","RUVB3","PBANKA_1138200","Previous IDs: PB000753.02.0;PB000877.01.0;PBANKA_113820","RuvB-like helicase 3, putative","1","1","1","null","null","reverse","protein coding","No","1428","11","PbANKA_11_v3:1444288..1445715(-)","PbANKA_11_v3","44","OG6_101635","0"
"PBANKA_1138300","PBANKA_1138300.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,447,240..1,447,821(+)","transmembrane and coiled-coil domain-containing protein 1, putative","no","TMCO1","PBANKA_1138300","Previous IDs: PB000752.02.0;PBANKA_113830","transmembrane and coiled-coil domain-containing protein 1, putative","1","1","1","null","null","forward","protein coding","No","582","11","PbANKA_11_v3:1447240..1447821(+)","PbANKA_11_v3","44","OG6_104181","0"
"PBANKA_1138400","PBANKA_1138400.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,449,769..1,455,537(+)","calpain, putative","no","Pcalp","PBANKA_1138400","Previous IDs: PB001043.00.0;PB105593.00.0;PBANKA_113840","calpain, putative","1","1","1","null","null","forward","protein coding","No","5769","11","PbANKA_11_v3:1449769..1455537(+)","PbANKA_11_v3","44","OG6_103851","0"
"PBANKA_1138500","PBANKA_1138500.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,456,903..1,459,194(+)","exonuclease, putative","no","null","PBANKA_1138500","Previous IDs: PB001044.00.0;PBANKA_113850","exonuclease, putative","2","2","1","null","null","forward","protein coding","No","2142","11","PbANKA_11_v3:1456903..1459194(+)","PbANKA_11_v3","42","OG6_179357","0"
"PBANKA_1138600","PBANKA_1138600.1","Plasmodium berghei ANKA","PbANKA_11_v3:1,459,786..1,461,045(+)","conserved protein, unknown function","no","null","PBANKA_1138600","Previous IDs: PB000296.02.0;PB104856.00.0;PBANKA_113860","conserved protein, unknown function","3","3","1","null","null","forward","protein coding","No","867","11","PbANKA_11_v3:1459786..1461045(+)","PbANKA_11_v3","43","OG6_106389","0"
